*.txt,Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL]
67200.0334,10182,0.001695112,0.984926618
67500.0334,10182,0.001695112,0.984926618
67800.0334,10182,0.001695112,0.984926618
68100.0334,10182,0.001695112,0.984926618
68400.0334,10182,0.001695112,0.984926618
68700.0334,10182,0.001695112,0.984926618
69000.0334,10182,0.001695112,0.984926618
69300.0334,10182,0.001695112,0.984926618
69600.0334,10182,0.001695112,0.984926618
69900.0334,10182,0.001695112,0.984926618
70200.0334,10182,0.001695112,0.984926618
70500.0334,10182,0.001695112,0.984926618
70800.0334,10182,0.001695112,0.984926618
71100.0334,10182,0.001695112,0.984926618
71400.0334,10182,0.001695112,0.984926618
71700.0334,10182,0.001695112,0.984926618
72000.0334,10182,0.001695112,0.984926618
72300.0334,10182,0.001695112,0.984926618
72600.0334,10182,0.001695112,0.984926618
72900.0334,10182,0.001695112,0.984926618
73200.0334,10182,0.001695112,0.984926618
73500.0334,10182,0.001695112,0.984926618
73800.0334,10182,0.001695112,0.984926618
74100.0334,10182,0.001695112,0.984926618
74400.0334,10182,0.001695112,0.984926618
74700.0334,10182,0.001695112,0.984926618
75000.0334,10182,0.001695112,0.984926618
75300.0334,10182,0.001695112,0.984926618
75600.0334,10182,0.001695112,0.984926618
75900.0334,10182,0.001695112,0.984926618
76200.0334,10182,0.001695112,0.984926618
76500.0334,10182,0.001695112,0.984926618
76800.0334,10182,0.001695112,0.984926618
77100.0334,10182,0.001695112,0.984926618
77400.0334,10182,0.001695112,0.984926618
77700.0334,10182,0.001695112,0.984926618
78000.0334,10182,0.001695112,0.984926618
78300.0334,10182,0.001695112,0.984926618
78600.0334,10182,0.001695112,0.984926618
78900.0334,10182,0.001695112,0.984926618
79200.0334,10182,0.001695112,0.984926618
79500.0334,10182,0.001695112,0.984926618
79800.0334,10182,0.001695112,0.984926618
80100.0334,10182,0.001695112,0.984926618
80400.0334,10182,0.001695112,0.984926618
80700.0334,10182,0.001695112,0.984926618
81000.0334,10182,0.001695112,0.984926618
81300.0334,10182,0.001695112,0.984926618
81600.0334,10182,0.001695112,0.984926618
81900.0334,10182,0.001695112,0.984926618
82200.0334,10182,0.001695112,0.984926618
82500.0334,10182,0.001695112,0.984926618
82800.0334,10182,0.001695112,0.984926618
83100.0334,10182,0.001695112,0.984926618
83400.0334,10182,0.001695112,0.984926618
83700.0334,10182,0.001695112,0.984926618
84000.0334,10182,0.001695112,0.984926618
84300.0334,10182,0.001695112,0.984926618
84600.0334,10182,0.001695112,0.984926618
84900.0334,10182,0.001695112,0.984926618
85200.0334,10182,0.001695112,0.984926618
