Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
66301.1333,66300.0333,223,4.436,4.436,10.888,2.0786,2.038,255,211,0,255,105
66601.1333,66600.0333,224,4.424,4.424,10.863,2.0784,2.038,255,217,0,255,105
66901.1333,66900.0333,225,4.44,4.44,10.893,2.0794,2.038,255,209,0,255,105
67201.1333,67200.0333,226,4.436,4.436,10.887,2.0786,2.038,255,215,0,255,105
67501.1333,67500.0333,227,4.434,4.434,10.883,2.0786,2.038,255,212,0,255,105
67801.1333,67800.0333,228,4.44,4.44,10.894,2.0794,2.038,255,210,0,255,105
68101.1333,68100.0333,229,4.432,4.432,10.88,2.0785,2.038,255,212,0,255,105
68401.1333,68400.0333,230,4.428,4.428,10.873,2.0782,2.038,255,215,0,255,105
68701.1333,68700.0333,231,4.431,4.431,10.879,2.0781,2.038,255,211,0,255,105
69001.1333,69000.0333,232,4.431,4.431,10.876,2.0785,2.038,255,226,0,255,105
69301.1333,69300.0333,233,4.437,4.437,10.888,2.0786,2.038,255,211,0,255,105
69601.1333,69600.0333,234,4.43,4.43,10.874,2.0792,2.038,255,227,0,255,105
69901.1333,69900.0333,235,4.438,4.438,10.89,2.0787,2.038,255,210,0,255,105
70201.1333,70200.0333,236,4.434,4.434,10.882,2.0785,2.038,255,210,0,255,105
70501.1333,70500.0333,237,4.433,4.433,10.881,2.0786,2.038,255,210,0,255,105
70801.1333,70800.0333,238,4.443,4.443,10.9,2.079,2.038,255,224,0,255,105
71101.1333,71100.0333,239,4.439,4.439,10.893,2.0789,2.038,255,216,0,255,105
71401.1333,71400.0333,240,4.436,4.436,10.886,2.0795,2.038,255,217,0,255,105
71701.1333,71700.0333,241,4.442,4.442,10.897,2.0794,2.038,255,211,0,255,105
72001.1333,72000.0333,242,4.446,4.446,10.905,2.0791,2.038,255,212,0,255,105
72301.1333,72300.0333,243,4.442,4.442,10.899,2.0789,2.038,255,217,0,255,105
72601.1333,72600.0333,244,4.441,4.441,10.896,2.079,2.038,255,211,0,255,105
