Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data            Data            Data            Data            Data            Data            Data            Data            Data,Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge            IFT             Diam            LYb             LYBeta          LYErr           ApexX           ApexY           A.R.,Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
20701.1667,20700.0334,71,4.435,4.435,10.86,2.0711,2.038,255,217,0,255,105,20701.1667,20700.0334,71,4.435,4.435,10.86,2.0711,2.038,255,217,0,255,105
21001.1667,21000.0334,72,4.425,4.425,10.844,2.0715,2.038,255,221,0,255,105,21001.1667,21000.0334,72,4.425,4.425,10.844,2.0715,2.038,255,221,0,255,105
21301.1667,21300.0334,73,4.383,4.383,10.794,2.0711,2.038,255,211,0,255,105,21301.1667,21300.0334,73,4.383,4.383,10.794,2.0711,2.038,255,211,0,255,105
21601.1667,21600.0334,74,4.403,4.403,10.799,2.0708,2.0552,255,224,0,255,105,21601.1667,21600.0334,74,4.403,4.403,10.799,2.0708,2.0552,255,224,0,255,105
21901.1667,21900.0334,75,4.412,4.412,10.814,2.0715,2.0552,255,207,0,255,105,21901.1667,21900.0334,75,4.412,4.412,10.814,2.0715,2.0552,255,207,0,255,105
22201.1667,22200.0334,76,4.407,4.407,10.806,2.0712,2.0552,255,219,0,255,105,22201.1667,22200.0334,76,4.407,4.407,10.806,2.0712,2.0552,255,219,0,255,105
22501.1667,22500.0334,77,4.402,4.402,10.795,2.0712,2.0552,255,205,0,255,105,22501.1667,22500.0334,77,4.402,4.402,10.795,2.0712,2.0552,255,205,0,255,105
22801.1667,22800.0334,78,4.414,4.414,10.819,2.0712,2.0552,255,235,0,255,105,22801.1667,22800.0334,78,4.414,4.414,10.819,2.0712,2.0552,255,235,0,255,105
23101.1667,23100.0334,79,4.414,4.414,10.82,2.0712,2.0552,255,205,0,255,105,23101.1667,23100.0334,79,4.414,4.414,10.82,2.0712,2.0552,255,205,0,255,105
23401.1667,23400.0334,80,4.412,4.412,10.816,2.0711,2.0552,255,212,0,255,105,23401.1667,23400.0334,80,4.412,4.412,10.816,2.0711,2.0552,255,212,0,255,105
23701.1667,23700.0334,81,4.413,4.413,10.816,2.0713,2.0552,255,228,0,255,105,23701.1667,23700.0334,81,4.413,4.413,10.816,2.0713,2.0552,255,228,0,255,105
24001.1667,24000.0334,82,4.406,4.406,10.804,2.071,2.038,255,203,0,255,105,24001.1667,24000.0334,82,4.406,4.406,10.804,2.071,2.038,255,203,0,255,105
24301.1667,24300.0334,83,4.372,4.372,10.737,2.071,2.038,255,203,0,255,105,24301.1667,24300.0334,83,4.372,4.372,10.737,2.071,2.038,255,203,0,255,105
24601.1667,24600.0334,84,4.403,4.403,10.797,2.0709,2.0466,255,210,0,255,105,24601.1667,24600.0334,84,4.403,4.403,10.797,2.0709,2.0466,255,210,0,255,105
24901.1667,24900.0334,85,4.408,4.408,10.807,2.0713,2.0466,255,207,0,255,105,24901.1667,24900.0334,85,4.408,4.408,10.807,2.0713,2.0466,255,207,0,255,105
