Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data            Data
Secs,Secs,,PndVol,IFT,PndVol,PndArea,TipWdth,WetTipW,Diam,LYb,LYBeta,LYErr,ApexX,ApexY,Contrst,Sharp,Black,White,Edge            Dist
75601.1333,75600.0333,128,4.05,11.55,4.05,10.258,2.0749,2.0733,1.9941,0.8449,-0.6056,3.80E-03,2.27E+00,3.2717,235,170,20,255,117
76201.1333,76200.0333,129,3.963,11.56,3.963,10.082,2.0748,2.0762,1.9889,0.845,-0.6054,3.90E-03,2.27E+00,3.2681,239,176,16,255,115
76801.1333,76800.0333,130,4.05,11.55,4.05,10.262,2.0753,2.0707,1.9949,0.8449,-0.6055,3.81E-03,2.27E+00,3.2635,238,171,17,255,115
77401.1333,77400.0333,131,3.861,13.58,3.861,9.8333,2.0744,2.0588,2.014,0.8774,-0.5555,3.83E-03,2.27E+00,3.1609,239,171,16,255,115
78001.1333,78000.0333,132,3.863,13.62,3.863,9.8339,2.0712,2.0662,2.0155,0.8782,-0.5547,4.01E-03,2.27E+00,3.1461,237,178,18,255,116
78601.1333,78600.0333,133,3.856,13.81,3.856,9.8196,2.0714,2.0648,2.0152,0.8799,-0.5495,3.99E-03,2.27E+00,3.1357,239,179,16,255,115
79201.1333,79200.0333,134,3.86,13.68,3.86,9.8307,2.0718,2.0664,2.0147,0.8785,-0.553,3.63E-03,2.27E+00,3.128,236,175,19,255,116
79801.1333,79800.0333,135,3.835,13.62,3.835,9.7804,2.0721,2.0656,2.0139,0.8777,-0.5542,3.70E-03,2.26E+00,3.1212,239,170,16,255,115
80401.1333,80400.0333,136,3.865,13.65,3.865,9.8388,2.0717,2.0653,2.0144,0.8781,-0.5537,3.70E-03,2.26E+00,3.1219,236,172,19,255,116
81001.1333,81000.0333,137,3.833,13.64,3.833,9.7761,2.0713,2.058,2.0142,0.8781,-0.5538,3.69E-03,2.26E+00,3.1122,235,176,20,255,117
81601.1333,81600.0333,138,3.924,13.68,3.924,9.9639,2.0722,2.0619,2.0136,0.8783,-0.5528,3.44E-03,2.26E+00,3.1075,236,178,19,255,116
82201.1333,82200.0333,139,3.798,13.61,3.798,9.704,2.1069,2.0969,2.015,0.8778,-0.5547,3.97E-03,2.26E+00,3.1092,238,183,17,255,115
82801.1333,82800.0333,140,3.837,13.66,3.837,9.786,2.0728,2.0612,2.0133,0.8779,-0.553,3.76E-03,2.26E+00,3.097,237,177,18,255,116
83401.1333,83400.0333,141,3.815,13.63,3.815,9.7408,2.0719,2.0608,2.0141,0.8779,-0.554,3.90E-03,2.26E+00,3.098,235,169,20,255,117
84001.1333,84000.0333,142,3.846,13.65,3.846,9.8004,2.0715,2.0613,2.0144,0.8781,-0.5537,3.91E-03,2.26E+00,3.0998,239,174,16,255,115
84601.1333,84600.0333,143,3.954,13.59,3.954,10.032,2.0729,2.0684,2.0151,0.8772,-0.555,4.17E-03,2.26E+00,3.0934,237,175,18,255,116
85201.1333,85200.0333,144,3.799,13.65,3.799,9.7078,2.0721,2.057,2.0144,0.878,-0.5536,3.72E-03,2.26E+00,3.0923,236,168,19,255,116
85801.1333,85800.0333,145,3.864,13.64,3.864,9.8412,2.0721,2.0604,2.014,0.8778,-0.5537,3.88E-03,2.26E+00,3.0974,235,168,20,255,117
86401.1333,86400.0333,146,3.861,13.64,3.861,9.8347,2.0724,2.0617,2.0132,0.8778,-0.5535,3.68E-03,2.26E+00,3.0883,239,170,16,255,115
87001.1333,87000.0333,147,3.867,13.64,3.867,9.8452,2.0726,2.0626,2.0137,0.8778,-0.5536,3.60E-03,2.26E+00,3.0897,237,174,18,255,116
87601.1333,87600.0333,148,3.876,13.63,3.876,9.8631,2.0726,2.0634,2.0135,0.8777,-0.5538,3.67E-03,2.26E+00,3.093,239,165,16,255,115
88201.1333,88200.0333,149,3.706,15.46,3.706,9.5056,2.0702,2.0572,2.0244,0.8978,-0.5109,3.59E-03,2.26E+00,3.0114,235,167,20,255,117
88801.1333,88800.0333,150,3.718,15.54,3.718,9.5308,2.0695,2.0564,2.024,0.8982,-0.5088,3.63E-03,2.25E+00,2.999,235,170,20,255,117
89401.1333,89400.0333,151,3.715,13.27,3.715,9.5249,2.0745,2.0582,2.0246,0.8974,-0.5114,4.52E-03,2.25E+00,3.0017,236,173,19,255,116
90001.1333,90000.0333,152,3.751,15.6,3.751,9.5951,2.0661,2.0473,2.0273,0.8995,-0.5084,3.81E-03,2.25E+00,2.9845,237,177,18,255,116
90601.1333,90600.0333,153,3.72,13.13,3.72,9.5351,2.0739,2.0681,2.0246,0.896,-0.5155,4.44E-03,2.25E+00,2.9791,235,171,20,255,117
91201.1333,91200.0333,154,3.679,15.64,3.679,9.4515,2.0672,2.0608,2.0255,0.8994,-0.5069,3.84E-03,2.24E+00,2.9793,238,169,17,255,115
