Run,Graph,Index           Y_Axis          Y2_Axis,Data            Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,Dist,Dist            IFT,PndVol,PndArea,TipWdth,WetTipW,Diam,LYb,LYBeta,LYErr,ApexX,ApexY,Contrst,Sharp,Black,White,Edge
75001.1333,75000.0333,127,18.07,3.941,9.8646,2.0644,2.0573,2.0928,0.9431,-0.4642,3.55E-03,2.294,2.7521,247,170,8,255,110
75601.1333,75600.0333,128,18.08,3.952,9.8847,2.0646,2.0573,2.0929,0.943,-0.4641,3.65E-03,2.2928,2.7556,251,174,4,255,108
76201.1333,76200.0333,129,17.92,3.946,9.8729,2.0645,2.0573,2.0924,0.942,-0.4672,3.91E-03,2.2946,2.7544,249,174,6,255,109
76801.1333,76800.0333,130,18.15,3.947,9.8749,2.0642,2.0573,2.0926,0.9436,-0.4627,3.33E-03,2.2975,2.7536,247,169,8,255,110
77401.1333,77400.0333,131,18.17,3.915,9.8133,2.0644,2.0487,2.093,0.9436,-0.4623,3.71E-03,2.2947,2.7618,249,170,6,255,109
78001.1333,78000.0333,132,18.22,3.929,9.8399,2.0647,2.0487,2.0923,0.9438,-0.4613,3.27E-03,2.2958,2.7565,249,172,6,255,109
78601.1333,78600.0333,133,18.05,3.946,9.8749,2.0647,2.0487,2.0925,0.9428,-0.4647,4.11E-03,2.2942,2.7626,247,174,8,255,110
79201.1333,79200.0333,134,18.1,3.965,9.9115,2.0646,2.0487,2.0924,0.9431,-0.4636,3.48E-03,2.2936,2.7684,247,168,8,255,110
79801.1333,79800.0333,135,18.19,3.91,9.8029,2.0641,2.0402,2.0926,0.9437,-0.4619,3.51E-03,2.2943,2.7684,253,172,2,255,106
80401.1333,80400.0333,136,18.08,3.925,9.8342,2.0643,2.0402,2.092,0.9429,-0.4639,3.55E-03,2.2964,2.7734,247,172,8,255,110
81001.1333,81000.0333,137,18.08,3.913,9.8072,2.0645,2.0402,2.0928,0.943,-0.464,3.69E-03,2.2958,2.7698,246,171,9,255,110
81601.1333,81600.0333,138,18.18,3.918,9.8196,2.0647,2.0402,2.0926,0.9437,-0.4622,4.07E-03,2.297,2.7701,247,172,8,255,110
82201.1333,82200.0333,139,18.18,3.928,9.8374,2.0645,2.0402,2.0926,0.9436,-0.462,3.57E-03,2.2973,2.7738,247,170,8,255,110
82801.1333,82800.0333,140,18.33,3.956,9.8914,2.0637,2.0402,2.0918,0.9444,-0.4591,2.78E-03,2.2958,2.7817,252,172,3,255,107
83401.1333,83400.0333,141,16.8,4.017,10.014,2.0659,2.0402,2.0909,0.9353,-0.4863,3.71E-03,2.2953,2.8064,247,171,8,255,110
84001.1333,84000.0333,142,16.72,4.055,10.084,2.0665,2.0402,2.0925,0.9361,-0.4866,3.52E-03,2.3024,2.8158,249,174,6,255,109
84601.1333,84600.0333,143,16.72,4.003,9.9823,2.0671,2.0573,2.093,0.9362,-0.4867,3.78E-03,2.3025,2.8255,247,173,8,255,110
85201.1333,85200.0333,144,16.68,4.073,10.119,2.0673,2.0573,2.0931,0.936,-0.4876,3.83E-03,2.3043,2.8297,247,170,8,255,110
