Time ADSA [s],Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],Interfacial Tension [mN/m],,,,,,,,,,,,,
97800.0333,467940,0.18708402,0.95603602,10.43,,,,,,,,,,,,,
98100.0333,468240,0.18708402,0.95603602,10.54,,,,,,,,,,,,,
98400.0333,468480,0.18708402,0.95603602,10.41,,,,,,,,,,,,,
98700.0333,468840,0.18708402,0.95603602,10.43,,,,,,,,,,,,,
99000.0333,469080,0.187074244,0.95603602,10.42,,,,,,,,,,,,,
99300.0333,469380,0.187054296,0.95603602,10.38,,,,,,,,,,,,,
99600.0333,469740,0.187052381,0.95603602,10.43,,,,,,,,,,,,,
99900.0333,469980,0.187052381,0.95603602,10.42,,,,,,,,,,,,,
100200.0333,470340,0.187052381,0.95603602,10.44,,,,,,,,,,,,,
100500.0333,470640,0.187052381,0.95603602,10.43,,,,,,,,,,,,,
100800.0333,470880,0.187052381,0.95603602,10.41,,,,,,,,,,,,,
101100.0333,471240,0.187031233,0.95603602,10.44,,,,,,,,,,,,,
101400.0333,471480,0.187020743,0.95603602,10.42,,,,,,,,,,,,,
101700.0333,471720,0.187020743,0.95603602,10.4,,,,,,,,,,,,,
102000.0333,472140,0.187020743,0.95603602,10.43,,,,,,,,,,,,,
102300.0333,472380,0.187020743,0.95603602,10.41,,,,,,,,,,,,,
102600.0333,472740,0.187020743,0.95603602,10.41,,,,,,,,,,,,,
102900.0333,473040,0.187018145,0.95603602,10.45,,,,,,,,,,,,,
103200.0333,473280,0.186998202,0.95603602,10.43,,,,,,,,,,,,,
103500.0333,473640,0.186989114,0.95603602,10.43,,,,,,,,,,,,,
103800.0333,473880,0.186989114,0.95603602,10.42,,,,,,,,,,,,,
104100.0333,474120,0.186989114,0.95603602,10.41,,,,,,,,,,,,,
104400.0333,474540,0.186989114,0.95603602,10.41,,,,,,,,,,,,,
104700.0333,474780,0.186989114,0.95603602,10.42,,,,,,,,,,,,,
105000.0333,475140,0.186975147,0.95603602,10.44,,,,,,,,,,,,,
105300.0333,475440,0.186957486,0.95603602,10.44,,,,,,,,,,,,,
105600.0333,475680,0.186957486,0.95603602,10.42,,,,,,,,,,,,,
105900.0333,476040,0.186957486,0.95603602,10.44,,,,,,,,,,,,,
106200.0333,476280,0.186957486,0.95603602,10.41,,,,,,,,,,,,,
106500.0333,476520,0.186957486,0.95603602,10.41,,,,,,,,,,,,,
106800.0333,476940,0.186930443,0.95603602,10.44,,,,,,,,,,,,,
107100.0333,477180,0.186925867,0.95603602,10.44,,,,,,,,,,,,,
